Designator,Mid X,Mid Y,Rotation,Layer
C1,140.6364,-72.965,0.0,top
C10,96.0364,-85.165,90.0,top
C11,85.4364,-85.865,90.0,top
C12,74.3739,-100.315,180.0,top
C13,79.1364,-85.965,270.0,top
C14,81.4364,-86.465,270.0,top
C15,92.4364,-110.665,270.0,top
C16,75.4364,-89.265,180.0,top
C17,101.7364,-90.665,0.0,top
C18,139.4364,-90.2275,0.0,top
C19,101.7364,-92.765,0.0,top
C2,140.7364,-76.665,0.0,top
C21,139.4364,-98.29,0.0,top
C22,75.9364,-93.665,180.0,top
C24,75.9364,-103.665,180.0,top
C29,95.9364,-109.6025,270.0,top
C3,79.0364,-79.165,270.0,top
C4,96.2739,-79.165,270.0,top
C5,113.6364,-79.165,270.0,top
C6,139.4364,-82.165,0.0,top
C7,109.1364,-84.265,270.0,top
C8,101.4364,-84.265,90.0,top
C9,89.9364,-86.665,270.0,top
D1,124.1739,-66.765,180.0,top
D2,124.1739,-70.115,180.0,top
D3,124.1739,-73.565,180.0,top
D4,121.0114,-94.1983,180.0,top
D5,121.0114,-97.6317,180.0,top
D6,121.0114,-101.065,180.0,top
D7,121.0114,-104.4983,180.0,top
D8,61.9364,-106.765,270.0,top
J1,71.4364,-66.065,0.0,top
J10,122.0364,-115.415,0.0,top
J11,133.8364,-108.4,0.0,top
J12,83.9364,-115.165,270.0,top
J13,61.9364,-76.845,0.0,top
J14,129.6714,-78.165,90.0,top
J15,113.3014,-108.865,270.0,top
J16,73.5364,-83.365,180.0,top
J17,63.2614,-96.665,270.0,top
J18,130.8364,-99.125,0.0,top
J2,84.7697,-66.065,0.0,top
J3,98.1031,-66.065,0.0,top
J4,111.4364,-66.065,0.0,top
J5,124.2464,-84.665,270.0,top
J6,141.5364,-107.365,90.0,top
J7,71.4364,-115.215,0.0,top
J8,104.1364,-115.415,0.0,top
J9,113.5864,-115.415,0.0,top
R1,120.5364,-66.665,0.0,top
R10,89.8751,-72.165,90.0,top
R11,93.1577,-72.165,90.0,top
R12,96.4404,-72.165,90.0,top
R13,99.7231,-72.165,90.0,top
R14,103.0057,-72.165,90.0,top
R15,106.2884,-72.165,90.0,top
R16,109.5711,-72.165,90.0,top
R17,112.8537,-72.165,90.0,top
R18,116.1364,-72.165,90.0,top
R19,120.5364,-73.565,0.0,top
R2,120.5364,-70.065,0.0,top
R20,67.5364,-81.065,90.0,top
R21,75.6664,-91.165,0.0,top
R22,117.3239,-94.1983,0.0,top
R23,117.3239,-97.665,0.0,top
R24,117.3239,-101.1317,0.0,top
R25,117.3239,-104.5983,0.0,top
R26,61.9364,-110.3275,90.0,top
R27,104.0364,-108.74,270.0,top
R28,106.3364,-108.74,90.0,top
R3,66.8964,-72.165,90.0,top
R4,70.1791,-72.165,90.0,top
R5,73.4617,-72.165,90.0,top
R6,76.7444,-72.165,90.0,top
R7,80.0271,-72.165,90.0,top
R8,83.3097,-72.165,270.0,top
R9,86.5924,-72.165,90.0,top
SW2,62.7364,-87.565,90.0,top
U1,133.8364,-70.565,90.0,top
U2,72.8364,-77.665,270.0,top
U3,90.1864,-77.665,270.0,top
U4,107.5364,-77.665,270.0,top
U5,87.9364,-98.49,180.0,top
Y1,105.2864,-84.265,0.0,top
