Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",CP_Radial_D30.0mm_P10.00mm_SnapIn,6,15000U,
"D1, D6",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,RED,
"D2, D8",D_MELF,2,5V,
"D3, D4",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,YELLOW,
"D5, D7",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,BLUE,
"F1, F2",5x20mm AliExpress 250V 6A,2,Fuse_Small,
"H1, H3",MountingHole_3mm,2,MountingHole,
"H2, H4",MountingHole_3.2mm_M3,2,MountingHole,
"J1, J10, J11, J2, J3, J4, J9",JST_VH_B3P-VH_1x03_P3.96mm_Vertical,7,Conn_01x03_Male,
"J5, J6",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Male,
J7,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,Conn_01x02_Male,
"R1, R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,560R,
"R10, R2",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,3.5K,
"R11, R5, R6, R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,9.1K,
"R12, R3",R_0612_1632Metric_Pad1.18x3.40mm_HandSolder,2,0.05,
"R4, R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,20K,
